"기준년월일","요일","시간대","발신지_시도","발신지_시군구","발신지_읍면동","통화건수"
"20160501","일","00","서울특별시","강남구","논현동","5"
"20160501","일","00","서울특별시","강남구","삼성동","5"
"20160501","일","00","서울특별시","강남구","신사동","5"
"20160501","일","00","서울특별시","강남구","역삼동","5"
"20160501","일","00","서울특별시","강동구","천호동","5"
"20160501","일","00","서울특별시","강북구","미아동","5"
"20160501","일","00","서울특별시","강서구","화곡동","5"
"20160501","일","00","서울특별시","구로구","신도림동","5"
"20160501","일","00","서울특별시","구로구","개봉동","5"
"20160501","일","00","서울특별시","구로구","구로동","5"
"20160501","일","00","서울특별시","도봉구","도봉동","5"
"20160501","일","00","서울특별시","도봉구","창동","5"
"20160501","일","00","서울특별시","마포구","도화동","5"
"20160501","일","00","서울특별시","마포구","합정동","5"
"20160501","일","00","서울특별시","서대문구","대현동","5"
"20160501","일","00","서울특별시","서대문구","창천동","5"
"20160501","일","00","서울특별시","성동구","성수동2가","5"
"20160501","일","00","서울특별시","송파구","송파동","5"
"20160501","일","00","서울특별시","송파구","가락동","5"
"20160501","일","00","서울특별시","영등포구","당산동","5"
"20160501","일","00","서울특별시","영등포구","여의도동","5"
"20160501","일","00","서울특별시","용산구","동빙고동","5"
"20160501","일","00","서울특별시","종로구","안국동","5"
"20160501","일","00","서울특별시","중구","회현동2가","5"
"20160501","일","00","서울특별시","중구","신당동","5"
"20160501","일","01","서울특별시","강남구","개포동","5"
"20160501","일","01","서울특별시","강남구","역삼동","5"
"20160501","일","01","서울특별시","도봉구","창동","5"
"20160501","일","01","서울특별시","동대문구","답십리동","5"
"20160501","일","01","서울특별시","동작구","사당동","5"
"20160501","일","01","서울특별시","서대문구","창천동","5"
"20160501","일","01","서울특별시","서대문구","대현동","5"
"20160501","일","01","서울특별시","서초구","반포동","5"
"20160501","일","01","서울특별시","영등포구","영등포동3가","5"
"20160501","일","01","서울특별시","영등포구","여의도동","5"
"20160501","일","01","서울특별시","영등포구","당산동","5"
"20160501","일","01","서울특별시","중구","무교동","5"
"20160501","일","02","서울특별시","강남구","논현동","5"
"20160501","일","02","서울특별시","강남구","역삼동","5"
"20160501","일","02","서울특별시","강남구","수서동","5"
"20160501","일","02","서울특별시","강남구","개포동","5"
"20160501","일","02","서울특별시","금천구","독산동","5"
"20160501","일","02","서울특별시","노원구","상계동","5"
"20160501","일","02","서울특별시","동작구","사당동","5"
"20160501","일","02","서울특별시","마포구","상암동","5"
"20160501","일","02","서울특별시","서초구","양재동","5"
"20160501","일","02","서울특별시","종로구","서린동","5"
"20160501","일","02","서울특별시","중랑구","상봉동","5"
"20160501","일","03","서울특별시","강남구","역삼동","5"
"20160501","일","03","서울특별시","강남구","수서동","5"
"20160501","일","03","서울특별시","강북구","미아동","5"
"20160501","일","03","서울특별시","구로구","개봉동","5"
"20160501","일","03","서울특별시","도봉구","창동","5"
"20160501","일","03","서울특별시","마포구","마포동","5"
"20160501","일","03","서울특별시","서대문구","남가좌동","5"
"20160501","일","03","서울특별시","서대문구","대현동","5"
"20160501","일","03","서울특별시","영등포구","영등포동2가","5"
"20160501","일","03","서울특별시","은평구","증산동","5"
"20160501","일","03","서울특별시","중구","충무로4가","5"
"20160501","일","03","서울특별시","중구","수하동","5"
"20160501","일","04","서울특별시","강남구","역삼동","5"
"20160501","일","04","서울특별시","용산구","한강로1가","5"
"20160501","일","04","서울특별시","용산구","용산동2가","5"
"20160501","일","04","서울특별시","중구","신당동","5"
"20160501","일","05","서울특별시","강남구","역삼동","5"
"20160501","일","05","서울특별시","강남구","신사동","5"
"20160501","일","05","서울특별시","강서구","가양동","5"
"20160501","일","05","서울특별시","노원구","상계동","5"
