"기준년월일","요일","시간대","발신지_시도","발신지_시군구","발신지_읍면동","통화건수"
"20161101","화","00","서울특별시","강남구","역삼동","5"
"20161101","화","00","서울특별시","강남구","논현동","5"
"20161101","화","00","서울특별시","강남구","삼성동","5"
"20161101","화","00","서울특별시","강동구","상일동","5"
"20161101","화","00","서울특별시","강동구","길동","5"
"20161101","화","00","서울특별시","노원구","상계동","5"
"20161101","화","00","서울특별시","도봉구","창동","5"
"20161101","화","00","서울특별시","동작구","신대방동","5"
"20161101","화","00","서울특별시","마포구","합정동","5"
"20161101","화","00","서울특별시","서대문구","홍제동","5"
"20161101","화","00","서울특별시","서초구","양재동","5"
"20161101","화","00","서울특별시","서초구","방배동","5"
"20161101","화","00","서울특별시","양천구","신정동","5"
"20161101","화","00","서울특별시","영등포구","문래동3가","5"
"20161101","화","00","서울특별시","영등포구","양평동4가","5"
"20161101","화","00","서울특별시","은평구","구산동","5"
"20161101","화","00","서울특별시","은평구","불광동","5"
"20161101","화","00","서울특별시","중구","신당동","5"
"20161101","화","00","서울특별시","중구","남대문로2가","5"
"20161101","화","00","서울특별시","중구","수하동","5"
"20161101","화","00","서울특별시","중구","충무로4가","5"
"20161101","화","01","서울특별시","강남구","논현동","5"
"20161101","화","01","서울특별시","강남구","역삼동","5"
"20161101","화","01","서울특별시","강남구","수서동","5"
"20161101","화","01","서울특별시","강남구","삼성동","5"
"20161101","화","01","서울특별시","강남구","개포동","5"
"20161101","화","01","서울특별시","강동구","길동","5"
"20161101","화","01","서울특별시","강서구","화곡동","5"
"20161101","화","01","서울특별시","마포구","상암동","5"
"20161101","화","01","서울특별시","서초구","잠원동","5"
"20161101","화","01","서울특별시","송파구","송파동","5"
"20161101","화","01","서울특별시","송파구","가락동","5"
"20161101","화","01","서울특별시","영등포구","양평동4가","5"
"20161101","화","01","서울특별시","영등포구","문래동3가","5"
"20161101","화","01","서울특별시","용산구","이태원동","5"
"20161101","화","01","서울특별시","종로구","서린동","5"
"20161101","화","01","서울특별시","종로구","종로3가","5"
"20161101","화","02","서울특별시","강남구","논현동","5"
"20161101","화","02","서울특별시","강남구","삼성동","5"
"20161101","화","02","서울특별시","강남구","역삼동","5"
"20161101","화","02","서울특별시","서대문구","연희동","5"
"20161101","화","02","서울특별시","송파구","송파동","5"
"20161101","화","02","서울특별시","영등포구","여의도동","5"
"20161101","화","02","서울특별시","중구","수하동","5"
"20161101","화","03","서울특별시","강남구","삼성동","5"
"20161101","화","03","서울특별시","강남구","논현동","5"
"20161101","화","03","서울특별시","강서구","등촌동","5"
"20161101","화","03","서울특별시","도봉구","창동","5"
"20161101","화","03","서울특별시","은평구","불광동","5"
"20161101","화","03","서울특별시","중구","명동2가","5"
"20161101","화","04","서울특별시","강남구","논현동","5"
"20161101","화","04","서울특별시","강동구","성내동","5"
"20161101","화","04","서울특별시","서대문구","북가좌동","5"
"20161101","화","04","서울특별시","서초구","잠원동","5"
"20161101","화","04","서울특별시","송파구","송파동","5"
"20161101","화","05","서울특별시","강동구","상일동","5"
"20161101","화","05","서울특별시","강서구","오곡동","5"
"20161101","화","05","서울특별시","마포구","신공덕동","5"
"20161101","화","05","서울특별시","송파구","송파동","5"
"20161101","화","06","서울특별시","강남구","대치동","5"
"20161101","화","06","서울특별시","강서구","화곡동","5"
"20161101","화","06","서울특별시","서대문구","연희동","5"
"20161101","화","06","서울특별시","서대문구","홍은동","5"
"20161101","화","06","서울특별시","송파구","송파동","5"
"20161101","화","06","서울특별시","영등포구","영등포동1가","5"
"20161101","화","07","서울특별시","강남구","역삼동","5"
"20161101","화","07","서울특별시","강동구","상일동","5"
"20161101","화","07","서울특별시","강동구","강일동","5"
"20161101","화","07","서울특별시","강서구","내발산동","5"
"20161101","화","07","서울특별시","도봉구","창동","5"
"20161101","화","07","서울특별시","서대문구","홍제동","5"
"20161101","화","07","서울특별시","서대문구","연희동","5"
"20161101","화","07","서울특별시","서초구","서초동","5"
"20161101","화","07","서울특별시","성북구","종암동","5"
"20161101","화","07","서울특별시","송파구","송파동","5"
"20161101","화","07","서울특별시","은평구","불광동","5"
"20161101","화","08","서울특별시","강남구","대치동","5"
"20161101","화","08","서울특별시","강남구","논현동","5"
"20161101","화","08","서울특별시","강동구","성내동","5"
"20161101","화","08","서울특별시","강동구","강일동","5"
"20161101","화","08","서울특별시","도봉구","창동","5"
"20161101","화","08","서울특별시","서대문구","북가좌동","5"
"20161101","화","08","서울특별시","서초구","양재동","5"
"20161101","화","08","서울특별시","서초구","잠원동","5"
"20161101","화","08","서울특별시","송파구","송파동","5"
"20161101","화","08","서울특별시","송파구","문정동","5"
"20161101","화","08","서울특별시","용산구","한강로2가","5"
"20161101","화","08","서울특별시","은평구","불광동","5"
"20161101","화","09","서울특별시","강동구","강일동","5"
"20161101","화","09","서울특별시","강동구","성내동","5"
"20161101","화","09","서울특별시","관악구","봉천동","5"
"20161101","화","09","서울특별시","도봉구","창동","5"
"20161101","화","09","서울특별시","서초구","양재동","5"
"20161101","화","09","서울특별시","서초구","서초동","5"
"20161101","화","09","서울특별시","서초구","방배동","5"
"20161101","화","09","서울특별시","영등포구","대림동","5"
"20161101","화","09","서울특별시","은평구","증산동","5"
"20161101","화","10","서울특별시","강동구","성내동","5"
"20161101","화","10","서울특별시","강서구","가양동","5"
"20161101","화","10","서울특별시","관악구","봉천동","5"
"20161101","화","10","서울특별시","관악구","신림동","5"
"20161101","화","10","서울특별시","동대문구","장안동","5"
"20161101","화","10","서울특별시","서초구","양재동","5"
"20161101","화","10","서울특별시","서초구","방배동","5"
"20161101","화","10","서울특별시","종로구","종로6가","5"
"20161101","화","11","서울특별시","강남구","역삼동","5"
"20161101","화","11","서울특별시","강동구","성내동","5"
"20161101","화","11","서울특별시","관악구","봉천동","5"
"20161101","화","11","서울특별시","구로구","개봉동","5"
"20161101","화","11","서울특별시","마포구","합정동","5"
"20161101","화","11","서울특별시","송파구","가락동","5"
"20161101","화","11","서울특별시","영등포구","여의도동","5"
"20161101","화","12","서울특별시","강남구","개포동","5"
"20161101","화","12","서울특별시","강남구","역삼동","5"
"20161101","화","12","서울특별시","강남구","수서동","5"
"20161101","화","12","서울특별시","강동구","성내동","5"
"20161101","화","12","서울특별시","강동구","천호동","5"
"20161101","화","12","서울특별시","강동구","상일동","5"
"20161101","화","12","서울특별시","강동구","강일동","5"
"20161101","화","12","서울특별시","강서구","염창동","5"
"20161101","화","12","서울특별시","구로구","개봉동","5"
"20161101","화","12","서울특별시","금천구","시흥동","5"
"20161101","화","12","서울특별시","금천구","가산동","5"
"20161101","화","12","서울특별시","도봉구","창동","5"
"20161101","화","12","서울특별시","마포구","상암동","5"
"20161101","화","12","서울특별시","서대문구","남가좌동","5"
"20161101","화","12","서울특별시","서대문구","홍제동","5"
"20161101","화","12","서울특별시","영등포구","여의도동","5"
"20161101","화","12","서울특별시","은평구","증산동","5"
"20161101","화","12","서울특별시","중구","신당동","5"
"20161101","화","13","서울특별시","강남구","개포동","5"
"20161101","화","13","서울특별시","강남구","삼성동","5"
"20161101","화","13","서울특별시","강동구","천호동","5"
"20161101","화","13","서울특별시","광진구","자양동","5"
"20161101","화","13","서울특별시","구로구","개봉동","5"
"20161101","화","13","서울특별시","노원구","상계동","5"
"20161101","화","13","서울특별시","도봉구","창동","5"
"20161101","화","13","서울특별시","서초구","양재동","5"
"20161101","화","13","서울특별시","양천구","신정동","5"
"20161101","화","13","서울특별시","은평구","증산동","5"
"20161101","화","13","서울특별시","은평구","수색동","5"
"20161101","화","14","서울특별시","강남구","도곡동","5"
"20161101","화","14","서울특별시","강동구","성내동","5"
"20161101","화","14","서울특별시","강서구","내발산동","5"
"20161101","화","14","서울특별시","서초구","내곡동","5"
"20161101","화","14","서울특별시","성북구","삼선동5가","5"
"20161101","화","14","서울특별시","송파구","송파동","5"
"20161101","화","14","서울특별시","은평구","구산동","5"
"20161101","화","14","서울특별시","중구","신당동","5"
"20161101","화","14","서울특별시","중구","수하동","5"
"20161101","화","15","서울특별시","강남구","삼성동","5"
"20161101","화","15","서울특별시","강남구","논현동","5"
"20161101","화","15","서울특별시","강남구","역삼동","5"
"20161101","화","15","서울특별시","강동구","성내동","5"
"20161101","화","15","서울특별시","동대문구","제기동","5"
"20161101","화","15","서울특별시","서대문구","남가좌동","5"
"20161101","화","15","서울특별시","서초구","반포동","5"
"20161101","화","15","서울특별시","영등포구","여의도동","5"
"20161101","화","16","서울특별시","강남구","삼성동","5"
"20161101","화","16","서울특별시","강남구","논현동","5"
"20161101","화","16","서울특별시","강남구","역삼동","5"
"20161101","화","16","서울특별시","강동구","상일동","5"
"20161101","화","16","서울특별시","강서구","외발산동","5"
"20161101","화","16","서울특별시","도봉구","창동","5"
"20161101","화","16","서울특별시","성동구","성수동2가","5"
"20161101","화","16","서울특별시","은평구","불광동","5"
"20161101","화","17","서울특별시","강남구","개포동","5"
"20161101","화","17","서울특별시","강동구","성내동","5"
"20161101","화","17","서울특별시","강동구","강일동","5"
"20161101","화","17","서울특별시","강서구","방화동","5"
"20161101","화","17","서울특별시","강서구","내발산동","5"
"20161101","화","17","서울특별시","강서구","가양동","5"
"20161101","화","17","서울특별시","도봉구","창동","5"
"20161101","화","17","서울특별시","동대문구","장안동","5"
"20161101","화","17","서울특별시","마포구","합정동","5"
"20161101","화","17","서울특별시","서대문구","연희동","5"
"20161101","화","17","서울특별시","서초구","양재동","5"
"20161101","화","17","서울특별시","서초구","반포동","5"
"20161101","화","17","서울특별시","송파구","송파동","5"
"20161101","화","17","서울특별시","송파구","가락동","5"
"20161101","화","17","서울특별시","양천구","신월동","5"
"20161101","화","17","서울특별시","영등포구","문래동2가","5"
"20161101","화","17","서울특별시","영등포구","문래동3가","5"
"20161101","화","17","서울특별시","용산구","후암동","5"
"20161101","화","18","서울특별시","강동구","상일동","5"
"20161101","화","18","서울특별시","강동구","강일동","5"
"20161101","화","18","서울특별시","구로구","가리봉동","5"
"20161101","화","18","서울특별시","구로구","개봉동","5"
"20161101","화","18","서울특별시","금천구","가산동","5"
"20161101","화","18","서울특별시","도봉구","창동","5"
"20161101","화","18","서울특별시","송파구","가락동","5"
"20161101","화","18","서울특별시","송파구","송파동","5"
"20161101","화","18","서울특별시","영등포구","문래동3가","5"
"20161101","화","18","서울특별시","종로구","서린동","5"
"20161101","화","18","서울특별시","중구","신당동","5"
"20161101","화","18","서울특별시","중구","수하동","5"
"20161101","화","19","서울특별시","강남구","역삼동","5"
"20161101","화","19","서울특별시","강남구","삼성동","5"
"20161101","화","19","서울특별시","강동구","성내동","5"
"20161101","화","19","서울특별시","강동구","강일동","5"
"20161101","화","19","서울특별시","강동구","상일동","5"
"20161101","화","19","서울특별시","강동구","명일동","5"
"20161101","화","19","서울특별시","강서구","내발산동","5"
"20161101","화","19","서울특별시","관악구","신림동","5"
"20161101","화","19","서울특별시","구로구","개봉동","5"
"20161101","화","19","서울특별시","서초구","방배동","5"
"20161101","화","19","서울특별시","성동구","성수동2가","5"
"20161101","화","19","서울특별시","송파구","송파동","5"
"20161101","화","19","서울특별시","은평구","불광동","5"
"20161101","화","19","서울특별시","중구","신당동","5"
"20161101","화","20","서울특별시","강남구","삼성동","5"
"20161101","화","20","서울특별시","강남구","역삼동","5"
"20161101","화","20","서울특별시","강동구","강일동","5"
"20161101","화","20","서울특별시","강동구","성내동","5"
"20161101","화","20","서울특별시","강서구","내발산동","5"
"20161101","화","20","서울특별시","서대문구","연희동","5"
"20161101","화","20","서울특별시","서대문구","대현동","5"
"20161101","화","20","서울특별시","서초구","방배동","5"
"20161101","화","20","서울특별시","서초구","반포동","5"
"20161101","화","20","서울특별시","송파구","가락동","5"
"20161101","화","20","서울특별시","영등포구","영등포동2가","5"
"20161101","화","20","서울특별시","영등포구","여의도동","5"
"20161101","화","20","서울특별시","용산구","한강로2가","5"
"20161101","화","20","서울특별시","종로구","경운동","5"
"20161101","화","20","서울특별시","중구","수하동","5"
"20161101","화","21","서울특별시","강남구","논현동","5"
"20161101","화","21","서울특별시","강남구","도곡동","5"
"20161101","화","21","서울특별시","강남구","신사동","5"
"20161101","화","21","서울특별시","강남구","역삼동","6"
"20161101","화","21","서울특별시","강동구","성내동","5"
"20161101","화","21","서울특별시","강서구","가양동","5"
"20161101","화","21","서울특별시","관악구","봉천동","5"
"20161101","화","21","서울특별시","구로구","구로동","5"
"20161101","화","21","서울특별시","동작구","사당동","5"
"20161101","화","21","서울특별시","마포구","합정동","5"
"20161101","화","21","서울특별시","마포구","신수동","5"
"20161101","화","21","서울특별시","마포구","용강동","5"
"20161101","화","21","서울특별시","서초구","서초동","5"
"20161101","화","21","서울특별시","서초구","양재동","5"
"20161101","화","21","서울특별시","성북구","종암동","5"
"20161101","화","21","서울특별시","송파구","송파동","5"
"20161101","화","21","서울특별시","영등포구","여의도동","5"
"20161101","화","21","서울특별시","영등포구","영등포동3가","5"
"20161101","화","21","서울특별시","용산구","후암동","5"
"20161101","화","21","서울특별시","종로구","계동","5"
"20161101","화","21","서울특별시","중구","주교동","5"
"20161101","화","21","서울특별시","중구","수하동","5"
"20161101","화","22","서울특별시","강남구","신사동","5"
"20161101","화","22","서울특별시","강남구","삼성동","5"
"20161101","화","22","서울특별시","강남구","논현동","5"
"20161101","화","22","서울특별시","강남구","역삼동","5"
"20161101","화","22","서울특별시","관악구","봉천동","5"
"20161101","화","22","서울특별시","도봉구","창동","5"
"20161101","화","22","서울특별시","마포구","아현동","5"
"20161101","화","22","서울특별시","마포구","합정동","5"
"20161101","화","22","서울특별시","서대문구","대현동","5"
"20161101","화","22","서울특별시","서대문구","홍제동","5"
"20161101","화","22","서울특별시","서초구","반포동","5"
"20161101","화","22","서울특별시","서초구","양재동","5"
"20161101","화","22","서울특별시","서초구","서초동","5"
"20161101","화","22","서울특별시","송파구","송파동","5"
"20161101","화","22","서울특별시","영등포구","신길동","5"
"20161101","화","22","서울특별시","용산구","후암동","5"
"20161101","화","22","서울특별시","종로구","서린동","5"
"20161101","화","22","서울특별시","중구","수하동","5"
"20161101","화","22","서울특별시","중구","남대문로1가","5"
"20161101","화","22","서울특별시","중구","태평로2가","5"
"20161101","화","23","서울특별시","강남구","역삼동","8"
"20161101","화","23","서울특별시","강남구","논현동","5"
"20161101","화","23","서울특별시","강남구","삼성동","5"
"20161101","화","23","서울특별시","강동구","성내동","5"
"20161101","화","23","서울특별시","강동구","강일동","5"
"20161101","화","23","서울특별시","강서구","내발산동","5"
"20161101","화","23","서울특별시","구로구","개봉동","5"
"20161101","화","23","서울특별시","금천구","독산동","5"
"20161101","화","23","서울특별시","마포구","상암동","5"
"20161101","화","23","서울특별시","마포구","신공덕동","5"
"20161101","화","23","서울특별시","서대문구","연희동","5"
"20161101","화","23","서울특별시","서대문구","대현동","5"
"20161101","화","23","서울특별시","서대문구","북아현동","5"
"20161101","화","23","서울특별시","서초구","양재동","5"
"20161101","화","23","서울특별시","서초구","서초동","5"
"20161101","화","23","서울특별시","송파구","송파동","5"
"20161101","화","23","서울특별시","송파구","가락동","5"
"20161101","화","23","서울특별시","영등포구","여의도동","5"
"20161101","화","23","서울특별시","영등포구","양평동4가","5"
"20161101","화","23","서울특별시","영등포구","문래동2가","5"
"20161101","화","23","서울특별시","영등포구","영등포동3가","5"
"20161101","화","23","서울특별시","용산구","후암동","5"
"20161101","화","23","서울특별시","종로구","종로6가","5"
"20161101","화","23","서울특별시","종로구","계동","5"
"20161101","화","23","서울특별시","종로구","서린동","5"
"20161101","화","23","서울특별시","중구","수하동","7"
"20161101","화","23","서울특별시","중구","남대문로1가","5"
"20161102","수","00","서울특별시","강남구","논현동","5"
"20161102","수","00","서울특별시","강남구","개포동","5"
"20161102","수","00","서울특별시","강남구","삼성동","5"
"20161102","수","00","서울특별시","강남구","역삼동","5"
"20161102","수","00","서울특별시","강동구","성내동","5"
"20161102","수","00","서울특별시","강동구","강일동","5"
"20161102","수","00","서울특별시","강서구","내발산동","5"
"20161102","수","00","서울특별시","관악구","봉천동","5"
"20161102","수","00","서울특별시","노원구","상계동","5"
"20161102","수","00","서울특별시","도봉구","창동","5"
"20161102","수","00","서울특별시","마포구","서교동","5"
"20161102","수","00","서울특별시","마포구","용강동","5"
"20161102","수","00","서울특별시","서대문구","연희동","5"
"20161102","수","00","서울특별시","서초구","서초동","5"
"20161102","수","00","서울특별시","서초구","방배동","5"
"20161102","수","00","서울특별시","성동구","성수동2가","5"
"20161102","수","00","서울특별시","송파구","송파동","5"
"20161102","수","00","서울특별시","양천구","신정동","5"
"20161102","수","00","서울특별시","영등포구","여의도동","5"
"20161102","수","00","서울특별시","용산구","후암동","5"
"20161102","수","00","서울특별시","용산구","한강로2가","5"
"20161102","수","00","서울특별시","종로구","경운동","5"
"20161102","수","00","서울특별시","종로구","서린동","5"
"20161102","수","00","서울특별시","중구","수하동","5"
"20161102","수","01","서울특별시","강남구","역삼동","5"
"20161102","수","01","서울특별시","강남구","삼성동","5"
"20161102","수","01","서울특별시","강남구","논현동","5"
"20161102","수","01","서울특별시","강동구","성내동","5"
"20161102","수","01","서울특별시","강동구","상일동","5"
"20161102","수","01","서울특별시","강동구","길동","5"
"20161102","수","01","서울특별시","마포구","상암동","5"
"20161102","수","01","서울특별시","서대문구","대현동","5"
"20161102","수","01","서울특별시","서초구","방배동","5"
"20161102","수","01","서울특별시","성동구","성수동2가","5"
"20161102","수","01","서울특별시","송파구","가락동","5"
"20161102","수","01","서울특별시","종로구","내수동","5"
"20161102","수","01","서울특별시","중구","신당동","5"
"20161102","수","01","서울특별시","중구","수하동","5"
"20161102","수","01","서울특별시","중랑구","면목동","5"
"20161102","수","02","서울특별시","강남구","역삼동","5"
"20161102","수","02","서울특별시","마포구","합정동","5"
"20161102","수","02","서울특별시","영등포구","여의도동","5"
"20161102","수","02","서울특별시","용산구","후암동","5"
"20161102","수","02","서울특별시","중랑구","묵동","5"
"20161102","수","03","서울특별시","강남구","삼성동","5"
"20161102","수","03","서울특별시","강남구","역삼동","5"
"20161102","수","03","서울특별시","강동구","상일동","5"
"20161102","수","03","서울특별시","강동구","성내동","5"
"20161102","수","03","서울특별시","서초구","방배동","5"
"20161102","수","03","서울특별시","양천구","신월동","5"
"20161102","수","03","서울특별시","은평구","불광동","5"
"20161102","수","03","서울특별시","종로구","종로6가","5"
"20161102","수","04","서울특별시","서초구","서초동","5"
"20161102","수","04","서울특별시","중구","신당동","5"
"20161102","수","05","서울특별시","강남구","삼성동","5"
"20161102","수","05","서울특별시","금천구","시흥동","5"
"20161102","수","05","서울특별시","영등포구","여의도동","5"
"20161102","수","06","서울특별시","강남구","논현동","5"
"20161102","수","06","서울특별시","강동구","상일동","5"
"20161102","수","06","서울특별시","강동구","강일동","5"
"20161102","수","06","서울특별시","강서구","화곡동","5"
"20161102","수","06","서울특별시","강서구","등촌동","5"
"20161102","수","06","서울특별시","서대문구","홍은동","5"
"20161102","수","06","서울특별시","송파구","송파동","5"
"20161102","수","06","서울특별시","용산구","한강로2가","5"
"20161102","수","07","서울특별시","강남구","역삼동","5"
"20161102","수","07","서울특별시","강서구","내발산동","5"
"20161102","수","07","서울특별시","강서구","화곡동","5"
"20161102","수","07","서울특별시","관악구","봉천동","5"
"20161102","수","07","서울특별시","도봉구","창동","5"
"20161102","수","07","서울특별시","도봉구","방학동","5"
"20161102","수","07","서울특별시","마포구","마포동","5"
"20161102","수","07","서울특별시","마포구","합정동","5"
"20161102","수","07","서울특별시","서대문구","연희동","5"
"20161102","수","08","서울특별시","강남구","대치동","5"
"20161102","수","08","서울특별시","강동구","강일동","5"
"20161102","수","08","서울특별시","강북구","미아동","5"
"20161102","수","08","서울특별시","노원구","상계동","5"
"20161102","수","08","서울특별시","도봉구","창동","5"
"20161102","수","08","서울특별시","서초구","원지동","5"
"20161102","수","08","서울특별시","서초구","반포동","5"
"20161102","수","08","서울특별시","용산구","동빙고동","5"
"20161102","수","08","서울특별시","은평구","불광동","5"
"20161102","수","08","서울특별시","중구","수하동","5"
"20161102","수","09","서울특별시","강동구","성내동","5"
"20161102","수","09","서울특별시","강동구","강일동","5"
"20161102","수","09","서울특별시","강서구","내발산동","5"
"20161102","수","09","서울특별시","관악구","봉천동","5"
"20161102","수","09","서울특별시","금천구","시흥동","5"
"20161102","수","09","서울특별시","도봉구","창동","5"
"20161102","수","09","서울특별시","서대문구","홍은동","5"
"20161102","수","09","서울특별시","서초구","서초동","5"
"20161102","수","09","서울특별시","서초구","방배동","5"
"20161102","수","10","서울특별시","강남구","삼성동","5"
"20161102","수","10","서울특별시","강남구","역삼동","5"
"20161102","수","10","서울특별시","강동구","성내동","5"
"20161102","수","10","서울특별시","강동구","천호동","5"
"20161102","수","10","서울특별시","강서구","화곡동","5"
"20161102","수","10","서울특별시","강서구","내발산동","5"
"20161102","수","10","서울특별시","관악구","봉천동","5"
"20161102","수","10","서울특별시","마포구","상암동","5"
"20161102","수","10","서울특별시","서초구","양재동","5"
"20161102","수","10","서울특별시","서초구","방배동","5"
"20161102","수","10","서울특별시","성동구","성수동2가","5"
"20161102","수","10","서울특별시","성북구","종암동","5"
"20161102","수","10","서울특별시","송파구","송파동","5"
"20161102","수","10","서울특별시","송파구","가락동","5"
"20161102","수","10","서울특별시","영등포구","문래동2가","5"
"20161102","수","11","서울특별시","강동구","상일동","5"
"20161102","수","11","서울특별시","강동구","강일동","5"
"20161102","수","11","서울특별시","강동구","성내동","5"
"20161102","수","11","서울특별시","구로구","개봉동","5"
"20161102","수","11","서울특별시","금천구","가산동","5"
"20161102","수","11","서울특별시","도봉구","창동","5"
"20161102","수","11","서울특별시","서초구","방배동","5"
"20161102","수","11","서울특별시","서초구","서초동","5"
"20161102","수","11","서울특별시","송파구","송파동","5"
"20161102","수","12","서울특별시","강남구","논현동","5"
"20161102","수","12","서울특별시","강동구","성내동","5"
"20161102","수","12","서울특별시","강동구","길동","5"
"20161102","수","12","서울특별시","서대문구","연희동","5"
"20161102","수","13","서울특별시","강남구","역삼동","5"
"20161102","수","13","서울특별시","강북구","번동","5"
"20161102","수","13","서울특별시","구로구","개봉동","5"
"20161102","수","13","서울특별시","도봉구","창동","5"
"20161102","수","13","서울특별시","은평구","불광동","5"
"20161102","수","14","서울특별시","강동구","성내동","5"
"20161102","수","14","서울특별시","강동구","상일동","5"
"20161102","수","14","서울특별시","강동구","명일동","5"
"20161102","수","14","서울특별시","마포구","상암동","5"
"20161102","수","14","서울특별시","성동구","성수동2가","5"
"20161102","수","15","서울특별시","강남구","삼성동","5"
"20161102","수","15","서울특별시","강동구","성내동","5"
"20161102","수","15","서울특별시","강동구","길동","5"
"20161102","수","15","서울특별시","서초구","양재동","5"
"20161102","수","15","서울특별시","송파구","가락동","5"
"20161102","수","16","서울특별시","강남구","역삼동","5"
"20161102","수","16","서울특별시","강남구","신사동","5"
"20161102","수","16","서울특별시","강남구","개포동","5"
"20161102","수","16","서울특별시","강동구","상일동","5"
"20161102","수","16","서울특별시","강서구","내발산동","5"
"20161102","수","16","서울특별시","강서구","가양동","5"
"20161102","수","16","서울특별시","구로구","개봉동","5"
"20161102","수","16","서울특별시","구로구","구로동","5"
"20161102","수","16","서울특별시","금천구","가산동","5"
"20161102","수","16","서울특별시","도봉구","창동","5"
"20161102","수","16","서울특별시","서대문구","연희동","5"
"20161102","수","16","서울특별시","영등포구","문래동2가","5"
"20161102","수","16","서울특별시","중구","신당동","5"
"20161102","수","17","서울특별시","강남구","세곡동","5"
"20161102","수","17","서울특별시","강남구","일원동","5"
"20161102","수","17","서울특별시","강남구","논현동","5"
"20161102","수","17","서울특별시","강남구","삼성동","5"
"20161102","수","17","서울특별시","강남구","역삼동","5"
"20161102","수","17","서울특별시","강동구","성내동","5"
"20161102","수","17","서울특별시","강동구","상일동","5"
"20161102","수","17","서울특별시","강서구","내발산동","5"
"20161102","수","17","서울특별시","구로구","개봉동","5"
"20161102","수","17","서울특별시","도봉구","창동","5"
"20161102","수","17","서울특별시","동작구","대방동","5"
"20161102","수","17","서울특별시","서초구","서초동","5"
"20161102","수","17","서울특별시","서초구","양재동","5"
"20161102","수","17","서울특별시","성동구","성수동2가","5"
"20161102","수","17","서울특별시","성북구","종암동","5"
"20161102","수","17","서울특별시","중구","수하동","5"
"20161102","수","17","서울특별시","중구","신당동","5"
"20161102","수","18","서울특별시","강남구","역삼동","5"
"20161102","수","18","서울특별시","강동구","강일동","5"
"20161102","수","18","서울특별시","강서구","가양동","5"
"20161102","수","18","서울특별시","구로구","개봉동","5"
"20161102","수","18","서울특별시","서대문구","연희동","5"
"20161102","수","18","서울특별시","송파구","가락동","5"
"20161102","수","18","서울특별시","용산구","후암동","5"
"20161102","수","19","서울특별시","강남구","세곡동","5"
"20161102","수","19","서울특별시","강남구","논현동","5"
"20161102","수","19","서울특별시","강남구","신사동","5"
"20161102","수","19","서울특별시","강동구","성내동","5"
"20161102","수","19","서울특별시","강동구","상일동","5"
"20161102","수","19","서울특별시","강북구","미아동","5"
"20161102","수","19","서울특별시","강서구","가양동","5"
"20161102","수","19","서울특별시","구로구","개봉동","5"
"20161102","수","19","서울특별시","서대문구","연희동","5"
"20161102","수","19","서울특별시","서초구","양재동","5"
"20161102","수","19","서울특별시","송파구","오금동","5"
"20161102","수","19","서울특별시","송파구","가락동","5"
"20161102","수","19","서울특별시","종로구","동숭동","5"
"20161102","수","19","서울특별시","중구","수하동","5"
"20161102","수","20","서울특별시","강남구","논현동","5"
"20161102","수","20","서울특별시","강남구","역삼동","5"
"20161102","수","20","서울특별시","강동구","상일동","5"
"20161102","수","20","서울특별시","강서구","방화동","5"
