"기준일","요일","성별","연령대","시도","시군구","업종","통화건수"
"20160201","월","여","40대","서울특별시","금천구","치킨","40"
"20160201","월","여","20대","서울특별시","금천구","치킨","28"
"20160201","월","여","60대이상","서울특별시","노원구","치킨","16"
"20160201","월","여","10대","서울특별시","노원구","치킨","25"
"20160201","월","여","30대","서울특별시","노원구","치킨","77"
"20160201","월","여","40대","서울특별시","노원구","치킨","99"
"20160201","월","남","60대이상","서울특별시","노원구","치킨","14"
"20160201","월","남","40대","서울특별시","노원구","치킨","49"
"20160201","월","남","10대","서울특별시","노원구","치킨","23"
"20160201","월","여","20대","서울특별시","노원구","치킨","56"
"20160201","월","남","20대","서울특별시","노원구","치킨","62"
"20160201","월","남","50대","서울특별시","노원구","치킨","16"
"20160201","월","여","50대","서울특별시","노원구","치킨","30"
"20160201","월","남","30대","서울특별시","노원구","치킨","59"
"20160201","월","여","50대","서울특별시","도봉구","치킨","19"
"20160201","월","남","50대","서울특별시","도봉구","치킨","21"
"20160201","월","여","30대","서울특별시","도봉구","치킨","39"
"20160201","월","여","40대","서울특별시","도봉구","치킨","47"
"20160201","월","남","20대","서울특별시","도봉구","치킨","60"
"20160201","월","남","40대","서울특별시","도봉구","치킨","14"
"20160201","월","여","20대","서울특별시","도봉구","치킨","33"
"20160201","월","여","60대이상","서울특별시","도봉구","치킨","16"
"20160201","월","여","10대","서울특별시","도봉구","치킨","82"
"20160201","월","남","60대이상","서울특별시","도봉구","치킨","5"
"20160201","월","남","10대","서울특별시","도봉구","치킨","99"
"20160201","월","남","30대","서울특별시","도봉구","치킨","38"
"20160201","월","남","60대이상","서울특별시","동대문구","치킨","9"
"20160201","월","남","10대","서울특별시","동대문구","치킨","21"
"20160201","월","여","20대","서울특별시","동대문구","치킨","55"
"20160201","월","남","50대","서울특별시","동대문구","치킨","10"
"20160201","월","여","60대이상","서울특별시","동대문구","치킨","6"
"20160201","월","여","50대","서울특별시","동대문구","치킨","13"
"20160201","월","여","10대","서울특별시","동대문구","치킨","14"
"20160201","월","여","30대","서울특별시","동대문구","치킨","48"
"20160201","월","남","30대","서울특별시","동대문구","치킨","66"
"20160201","월","여","40대","서울특별시","동대문구","치킨","60"
"20160201","월","남","40대","서울특별시","동대문구","치킨","47"
"20160201","월","남","20대","서울특별시","동대문구","치킨","62"
"20160201","월","여","30대","서울특별시","동작구","치킨","59"
"20160201","월","남","30대","서울특별시","동작구","치킨","48"
"20160201","월","여","50대","서울특별시","동작구","치킨","16"
"20160201","월","남","20대","서울특별시","동작구","치킨","45"
"20160201","월","여","40대","서울특별시","동작구","치킨","58"
"20160201","월","여","20대","서울특별시","동작구","치킨","52"
"20160201","월","남","40대","서울특별시","동작구","치킨","37"
"20160201","월","남","60대이상","서울특별시","동작구","치킨","6"
"20160201","월","남","10대","서울특별시","동작구","치킨","13"
"20160201","월","여","60대이상","서울특별시","동작구","치킨","18"
"20160201","월","여","10대","서울특별시","동작구","치킨","15"
"20160201","월","남","50대","서울특별시","동작구","치킨","17"
"20160201","월","남","10대","서울특별시","마포구","치킨","18"
"20160201","월","남","60대이상","서울특별시","마포구","치킨","13"
"20160201","월","여","30대","서울특별시","마포구","치킨","85"
"20160201","월","여","40대","서울특별시","마포구","치킨","64"
"20160201","월","여","10대","서울특별시","마포구","치킨","14"
"20160201","월","남","40대","서울특별시","마포구","치킨","50"
"20160201","월","여","60대이상","서울특별시","마포구","치킨","13"
"20160201","월","여","20대","서울특별시","마포구","치킨","65"
"20160201","월","남","20대","서울특별시","마포구","치킨","61"
"20160201","월","남","50대","서울특별시","마포구","치킨","24"
"20160201","월","여","50대","서울특별시","마포구","치킨","17"
"20160201","월","남","30대","서울특별시","마포구","치킨","114"
"20160201","월","여","60대이상","서울특별시","서대문구","치킨","8"
"20160201","월","여","10대","서울특별시","서대문구","치킨","11"
"20160201","월","여","30대","서울특별시","서대문구","치킨","58"
"20160201","월","여","40대","서울특별시","서대문구","치킨","73"
"20160201","월","남","60대이상","서울특별시","서대문구","치킨","7"
"20160201","월","남","40대","서울특별시","서대문구","치킨","30"
"20160201","월","남","10대","서울특별시","서대문구","치킨","17"
"20160201","월","여","20대","서울특별시","서대문구","치킨","55"
"20160201","월","남","20대","서울특별시","서대문구","치킨","64"
"20160201","월","남","50대","서울특별시","서대문구","치킨","14"
"20160201","월","여","50대","서울특별시","서대문구","치킨","17"
"20160201","월","남","30대","서울특별시","서대문구","치킨","63"
"20160201","월","남","60대이상","서울특별시","서초구","치킨","12"
"20160201","월","남","10대","서울특별시","서초구","치킨","26"
"20160201","월","여","40대","서울특별시","서초구","치킨","104"
"20160201","월","여","30대","서울특별시","서초구","치킨","67"
"20160201","월","여","60대이상","서울특별시","서초구","치킨","13"
"20160201","월","남","30대","서울특별시","서초구","치킨","78"
"20160201","월","여","10대","서울특별시","서초구","치킨","15"
"20160201","월","남","50대","서울특별시","서초구","치킨","23"
"20160201","월","여","50대","서울특별시","서초구","치킨","33"
"20160201","월","여","20대","서울특별시","서초구","치킨","81"
"20160201","월","남","20대","서울특별시","서초구","치킨","80"
"20160201","월","남","40대","서울특별시","서초구","치킨","61"
"20160201","월","여","30대","서울특별시","성동구","치킨","32"
"20160201","월","남","30대","서울특별시","성동구","치킨","33"
"20160201","월","여","50대","서울특별시","성동구","치킨","9"
"20160201","월","남","20대","서울특별시","성동구","치킨","33"
"20160201","월","여","40대","서울특별시","성동구","치킨","31"
"20160201","월","여","20대","서울특별시","성동구","치킨","31"
"20160201","월","남","40대","서울특별시","성동구","치킨","22"
"20160201","월","남","60대이상","서울특별시","성동구","치킨","5"
"20160201","월","남","10대","서울특별시","성동구","치킨","5"
"20160201","월","여","60대이상","서울특별시","성동구","치킨","5"
"20160201","월","여","10대","서울특별시","성동구","치킨","5"
"20160201","월","남","50대","서울특별시","성동구","치킨","13"
"20160201","월","남","60대이상","서울특별시","성북구","치킨","9"
"20160201","월","남","10대","서울특별시","성북구","치킨","11"
"20160201","월","여","50대","서울특별시","성북구","치킨","25"
"20160201","월","남","20대","서울특별시","성북구","치킨","55"
"20160201","월","여","60대이상","서울특별시","성북구","치킨","5"
"20160201","월","여","20대","서울특별시","성북구","치킨","31"
"20160201","월","여","10대","서울특별시","성북구","치킨","9"
"20160201","월","남","40대","서울특별시","성북구","치킨","35"
"20160201","월","여","40대","서울특별시","성북구","치킨","47"
"20160201","월","남","30대","서울특별시","성북구","치킨","50"
"20160201","월","여","30대","서울특별시","성북구","치킨","57"
"20160201","월","남","50대","서울특별시","성북구","치킨","15"
"20160201","월","남","10대","서울특별시","송파구","치킨","45"
"20160201","월","남","60대이상","서울특별시","송파구","치킨","15"
"20160201","월","남","50대","서울특별시","송파구","치킨","30"
"20160201","월","여","20대","서울특별시","송파구","치킨","77"
"20160201","월","여","10대","서울특별시","송파구","치킨","23"
"20160201","월","남","20대","서울특별시","송파구","치킨","88"
"20160201","월","여","60대이상","서울특별시","송파구","치킨","30"
"20160201","월","여","40대","서울특별시","송파구","치킨","140"
"20160201","월","남","40대","서울특별시","송파구","치킨","72"
"20160201","월","여","30대","서울특별시","송파구","치킨","114"
"20160201","월","남","30대","서울특별시","송파구","치킨","104"
"20160201","월","여","50대","서울특별시","송파구","치킨","37"
"20160201","월","여","30대","서울특별시","양천구","치킨","64"
"20160201","월","남","30대","서울특별시","양천구","치킨","33"
"20160201","월","여","50대","서울특별시","양천구","치킨","24"
"20160201","월","남","20대","서울특별시","양천구","치킨","44"
"20160201","월","여","40대","서울특별시","양천구","치킨","93"
"20160201","월","여","20대","서울특별시","양천구","치킨","37"
"20160201","월","남","40대","서울특별시","양천구","치킨","30"
"20160201","월","여","10대","서울특별시","양천구","치킨","22"
"20160201","월","여","60대이상","서울특별시","양천구","치킨","10"
