"기준일","요일","성별","연령대","시도","시군구","읍면동","업종","통화건수"
"20160901","목","남","50대","서울특별시","강동구","명일동","치킨","5"
"20160901","목","여","10대","서울특별시","강동구","성내동","치킨","5"
"20160901","목","여","10대","서울특별시","강동구","고덕동","치킨","5"
"20160901","목","여","10대","서울특별시","강동구","천호동","치킨","5"
"20160901","목","남","10대","서울특별시","강동구","강일동","치킨","5"
"20160901","목","남","20대","서울특별시","강동구","상일동","치킨","5"
"20160901","목","여","10대","서울특별시","강동구","길동","치킨","5"
"20160901","목","남","20대","서울특별시","강동구","명일동","치킨","13"
"20160901","목","남","20대","서울특별시","강동구","천호동","치킨","5"
"20160901","목","여","20대","서울특별시","강동구","강일동","치킨","5"
"20160901","목","여","10대","서울특별시","강동구","상일동","치킨","5"
"20160901","목","남","40대","서울특별시","강동구","암사동","치킨","5"
"20160901","목","남","20대","서울특별시","강동구","성내동","치킨","28"
"20160901","목","남","40대","서울특별시","강동구","둔촌동","치킨","5"
"20160901","목","남","60대이상","서울특별시","강동구","천호동","치킨","5"
"20160901","목","여","60대이상","서울특별시","강동구","강일동","치킨","5"
"20160901","목","여","30대","서울특별시","강동구","암사동","치킨","8"
"20160901","목","남","60대이상","서울특별시","강동구","성내동","치킨","7"
"20160901","목","남","50대","서울특별시","강동구","성내동","치킨","23"
"20160901","목","여","30대","서울특별시","강동구","둔촌동","치킨","5"
"20160901","목","남","50대","서울특별시","강동구","천호동","치킨","6"
"20160901","목","여","50대","서울특별시","강동구","강일동","치킨","5"
"20160901","목","여","10대","서울특별시","강동구","명일동","치킨","6"
"20160901","목","남","20대","서울특별시","강동구","길동","치킨","5"
"20160901","목","남","10대","서울특별시","강북구","미아동","치킨","11"
"20160901","목","여","60대이상","서울특별시","강북구","수유동","치킨","5"
"20160901","목","남","10대","서울특별시","강북구","번동","치킨","5"
"20160901","목","여","20대","서울특별시","강북구","수유동","치킨","5"
"20160901","목","여","20대","서울특별시","강북구","번동","치킨","5"
"20160901","목","여","20대","서울특별시","강북구","미아동","치킨","58"
"20160901","목","여","50대","서울특별시","강북구","미아동","치킨","23"
"20160901","목","여","50대","서울특별시","강북구","번동","치킨","6"
"20160901","목","여","60대이상","서울특별시","강북구","미아동","치킨","12"
"20160901","목","여","60대이상","서울특별시","강북구","번동","치킨","5"
"20160901","목","남","20대","서울특별시","강북구","미아동","치킨","57"
"20160901","목","남","20대","서울특별시","강북구","번동","치킨","5"
"20160901","목","남","50대","서울특별시","강북구","미아동","치킨","25"
"20160901","목","남","50대","서울특별시","강북구","번동","치킨","5"
"20160901","목","남","60대이상","서울특별시","강북구","미아동","치킨","5"
"20160901","목","남","60대이상","서울특별시","강북구","번동","치킨","5"
"20160901","목","여","10대","서울특별시","강북구","미아동","치킨","7"
"20160901","목","여","10대","서울특별시","강북구","번동","치킨","5"
"20160901","목","남","60대이상","서울특별시","강북구","수유동","치킨","5"
"20160901","목","남","30대","서울특별시","강북구","수유동","치킨","5"
"20160901","목","여","40대","서울특별시","강북구","수유동","치킨","5"
"20160901","목","여","40대","서울특별시","강북구","미아동","치킨","104"
"20160901","목","여","40대","서울특별시","강북구","번동","치킨","10"
"20160901","목","남","30대","서울특별시","강북구","미아동","치킨","84"
"20160901","목","남","30대","서울특별시","강북구","번동","치킨","8"
