측정일시	측정소명	이산화질소농도(ppm)	오존농도(ppm)	일산화탄소농도(ppm)	아황산가스(ppm)	미세먼지(ug/m^2)	초미세먼지(ug/m^2)
20170407	동작대로	0.064	0.01	0.7	0.008	54	
20170406	강변북로	0.047	0.012	0.4	0.004	36	1
20170406	구로구	0.022	0.017	0.4	0.006	28	19
20170406	영등포로	0.052	0.012	0.4	0.005	42	17
20170406	동작대로	0.045	0.018	0.6	0.007	35	24
20170406	중랑구	0.029	0.021	0.3	0.005	27	21
20170406	강남구	0.029	0.02	0.3	0.004	27	19
20170406	노원구	0.031	0.027	0.4	0.003	21	16
20170406	금천구	0.029	0.024	0.4	0.003	27	21
20170406	강북구	0.022	0.033	0.4	0.003	15	11
20170406	청계천로	0.042	0.017	0.5	0.01	36	27
20170406	서대문구	0.032	0.022	0.5	0.005	25	19
20170406	광진구	0.027	0.032	0.4	0.004	23	14
20170406	성북구	0.035	0.022	0.5	0.001	23	16
20170406	천호대로	0.037	0.018	0.6	0.003	29	23
20170406	송파구	0.027	0.028	0.5	0.005	26	15
20170406	강남대로	0.051	0.016	0.6	0.005	40	16
20170406	도봉구	0.022	0.032	0.4	0.004	21	16
20170406	동작구	0.028	0.03	0.4	0.003	24	20
20170406	용산구	0.028	0.017	0.3	0.003	24	17
20170406	은평구	0.028	0.029	0.6	0.003	27	18
20170406	공항대로	0.042	0.014	0.4	0.005	39	22
20170406	종로	0.034	0.014	0.3	0.003	31	22
20170406	한강대로	0.043	0.016	0.5	0.004	38	17
20170406	동대문구	0.025	0.024	0.3	0.004	20	15
20170406	강동구	0.028	0.022	0.4	0.003	28	21
20170406	관악구	0.027	0.028	0.4	0.003	36	20
20170406	중구	0.031	0.023	0.4	0.003	23	17
20170406	종로구	0.031	0.025	0.5	0.003	24	16
20170406	도산대로	0.035	0.018	0.6	0.005	30	21
20170406	마포구	0.029	0.026	0.4	0.003	28	26
20170406	화랑로	0.037	0.017	0.4	0.003	26	17
20170406	양천구	0.028	0.016	0.4	0.005	29	24
20170406	영등포구	0.032	0.021	0.7	0.005	34	21
20170406	서초구	0.025	0.027	0.4	0.004	25	19
20170406	정릉로	0.024	0.031	0.4	0.006	26	18
20170406	강서구	0.029	0.026	0.3	0.006	30	18
20170406	성동구	0.028	0.019	0.4	0.004	24	18
20170406	홍릉로	0.047	0.013	0.5	0.005	38	27
20170406	신촌로	0.051	0.012	0.8	0.004	32	23
20170405	영등포로	0.071	0.009	0.5	0.008	60	33
20170405	강남대로	0.082	0.01	0.8	0.006	62	32
20170405	화랑로	0.064	0.009	0.7	0.004	67	39
20170405	도봉구	0.048	0.022	0.6	0.005	49	25
20170405	신촌로	0.065	0.012	0.9	0.007	49	28
20170405	강서구	0.065	0.016	0.6	0.008	51	27
20170405	금천구	0.039	0.029	0.5	0.006	43	31
20170405	동대문구	0.055	0.015	0.5	0.006	47	25
20170405	강북구	0.039	0.027	0.5	0.004	41	26
20170405	중구	0.066	0.012	0.7	0.006	54	36
20170405	광진구	0.045	0.028	0.5	0.005	49	34
20170405	구로구	0.035	0.015	0.6	0.008	42	25
20170405	한강대로	0.062	0.014	0.6	0.006	63	32
20170405	마포구	0.05	0.023	0.5	0.006	52	50
20170405	용산구	0.042	0.016	0.4	0.005	41	28
20170405	홍릉로	0.063	0.014	0.5	0.007	67	49
20170405	종로	0.069	0.007	0.5	0.006	63	46
20170405	관악구	0.051	0.021	0.5	0.005	50	28
20170405	동작구	0.049	0.025	0.5	0.005	47	31
20170405	동작대로	0.073	0.012	0.7	0.009	63	43
20170405	강남구	0.055	0.014	0.4	0.007	47	23
20170405	노원구	0.049	0.023	0.6	0.004	51	33
20170405	공항대로	0.068	0.007	0.6	0.007	83	49
20170405	종로구	0.054	0.018	0.7	0.004	47	26
20170405	은평구	0.043	0.027	0.6	0.004	39	22
20170405	청계천로	0.07	0.011	0.8	0.009	60	50
20170405	정릉로	0.062	0.011	0.6	0.008	65	32
20170405	강변북로	0.056	0.012	0.5	0.005	59	41
20170405	서초구	0.048	0.021	0.6	0.006	46	28
20170405	양천구	0.052	0.011	0.6	0.007	51	36
20170405	중랑구	0.043	0.023	0.4	0.006	51	29
20170405	송파구	0.045	0.025	0.6	0.005	50	27
20170405	성동구	0.046	0.015	0.5	0.006	47	26
20170405	서대문구	0.047	0.016	0.5	0.007	52	28
20170405	영등포구	0.05	0.017	0.8	0.005	46	22
20170405	강동구	0.043	0.024	0.5	0.004	52	32
20170405	도산대로	0.054	0.016	0.7	0.007	48	27
20170405	천호대로	0.056	0.016	0.7	0.005	57	39
20170405	성북구	0.058	0.015	0.7	0.003	56	45
20170404	화랑로	0.059	0.024	0.7	0.005	85	52
20170404	도봉구	0.047	0.039	0.6	0.006	75	42
20170404	구로구	0.04	0.023	0.8	0.008	71	43
20170404	서초구	0.055	0.029	0.7	0.006	70	42
20170404	강동구	0.048	0.032	0.6	0.005	80	47
20170404	은평구	0.039	0.046	0.7	0.005	72	40
20170404	영등포구	0.062	0.025	1	0.006	87	42
20170404	양천구	0.051	0.027	0.7	0.007	76	58
20170404	관악구	0.054	0.037	0.7	0.005	68	44
20170404	동작구	0.053	0.04	0.6	0.005	65	47
20170404	동대문구	0.05	0.033	0.6	0.006	66	38
20170404	성동구	0.049	0.024	0.6	0.005	76	41
20170404	종로구	0.062	0.026	0.8	0.006	71	54
20170404	신촌로	0.086	0.013	1.1	0.007	80	50
20170404	청계천로	0.067	0.027	0.9	0.008	78	63
20170404	강남대로	0.089	0.015	0.9	0.007	90	47
20170404	강서구	0.063	0.04	0.7	0.01	79	47
20170404	중구	0.056	0.037	0.7	0.005	72	48
20170404	영등포로	0.083	0.018	0.6	0.008	99	61
20170404	중랑구	0.038	0.036	0.5	0.007	71	44
20170404	송파구	0.049	0.033	0.7	0.007	78	37
20170404	도산대로	0.067	0.021	0.9	0.008	80	45
20170404	동작대로	0.083	0.018	0.9	0.009	89	59
20170404	성북구	0.057	0.03	0.7	0.004	77	57
20170404	공항대로	0.07	0.021	0.7	0.008	134	73
20170404	종로	0.058	0.021	0.4	0.005	79	57
20170404	금천구	0.055	0.034	0.6	0.005	66	51
20170404	용산구	0.05	0.023	0.5	0.005	63	43
20170404	강남구	0.056	0.025	0.5	0.007	74	38
20170404	광진구	0.049	0.039	0.6	0.006	71	53
20170404	천호대로	0.062	0.023	0.7	0.006	77	48
20170404	홍릉로	0.066	0.023	0.7	0.007	84	63
20170404	한강대로	0.07	0.027	0.7	0.006	95	56
