ADDR,adr1,adr2,adr3,zipcode,long,lat
서울특별시 중구 신당동,서울특별시,중구,신당동,100450,127.014538,37.562125
서울특별시 중구 다산동,서울특별시,중구,다산동,100452,127.0082322,37.5542861
서울특별시 중구 약수동,서울특별시,중구,약수동,100453,127.008975,37.552458
서울특별시 중구 청구동,서울특별시,중구,청구동,100454,127.014687,37.557083
서울특별시 중구 신당5동,서울특별시,중구,신당5동,100455,127.02185,37.565142
서울특별시 중구 동화동,서울특별시,중구,동화동,100456,127.019425,37.560025
서울특별시 중구 서울중앙우체국사서함 1~99,서울특별시,중구,,100600,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 100~199,서울특별시,중구,,100601,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 200~299,서울특별시,중구,,100602,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 300~399,서울특별시,중구,,100603,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 400~499,서울특별시,중구,,100604,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 500~599,서울특별시,중구,,100605,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 600~699,서울특별시,중구,,100606,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 700~799,서울특별시,중구,,100607,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 800~899,서울특별시,중구,,100608,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 900~999,서울특별시,중구,,100609,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 1000~1099,서울특별시,중구,,100610,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 1100~1199,서울특별시,중구,,100611,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 1200~1299,서울특별시,중구,,100612,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 1300~1399,서울특별시,중구,,100613,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 1400~1499,서울특별시,중구,,100614,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 1500~1599,서울특별시,중구,,100615,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 1600~1699,서울특별시,중구,,100616,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 1700~1799,서울특별시,중구,,100617,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 1800~1899,서울특별시,중구,,100618,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 1900~1999,서울특별시,중구,,100619,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 2000~2099,서울특별시,중구,,100620,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 2100~2199,서울특별시,중구,,100621,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 2200~2299,서울특별시,중구,,100622,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 2300~2399,서울특별시,중구,,100623,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 2400~2499,서울특별시,중구,,100624,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 2500~2599,서울특별시,중구,,100625,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 2600~2699,서울특별시,중구,,100626,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 2700~2799,서울특별시,중구,,100627,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 2800~2899,서울특별시,중구,,100628,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 2900~2999,서울특별시,중구,,100629,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 3000~3099,서울특별시,중구,,100630,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 3100~3199,서울특별시,중구,,100631,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 3200~3299,서울특별시,중구,,100632,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 3300~3399,서울특별시,중구,,100633,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 3400~3499,서울특별시,중구,,100634,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 3500~3599,서울특별시,중구,,100635,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 3600~3699,서울특별시,중구,,100636,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 3700~3799,서울특별시,중구,,100637,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 3800~3899,서울특별시,중구,,100638,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 3900~3999,서울특별시,중구,,100639,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 4000~4099,서울특별시,중구,,100640,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 4100~4199,서울특별시,중구,,100641,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 4200~4299,서울특별시,중구,,100642,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 4300~4399,서울특별시,중구,,100643,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 4400~4499,서울특별시,중구,,100644,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 4500~4599,서울특별시,중구,,100645,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 4600~4699,서울특별시,중구,,100646,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 4700~4799,서울특별시,중구,,100647,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 4800~4899,서울특별시,중구,,100648,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 4900~4999,서울특별시,중구,,100649,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 5000~5099,서울특별시,중구,,100650,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 5100~5199,서울특별시,중구,,100651,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 5200~5299,서울특별시,중구,,100652,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 5300~5399,서울특별시,중구,,100653,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 5400~5499,서울특별시,중구,,100654,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 5500~5599,서울특별시,중구,,100655,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 5600~5699,서울특별시,중구,,100656,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 5700~5799,서울특별시,중구,,100657,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 5800~5899,서울특별시,중구,,100658,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 5900~5999,서울특별시,중구,,100659,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 6000~6099,서울특별시,중구,,100660,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 6100~6199,서울특별시,중구,,100661,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 6200~6299,서울특별시,중구,,100662,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 6300~6399,서울특별시,중구,,100663,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 6400~6499,서울특별시,중구,,100664,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 6500~6599,서울특별시,중구,,100665,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 6600~6699,서울특별시,중구,,100666,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 6700~6799,서울특별시,중구,,100667,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 6800~6899,서울특별시,중구,,100668,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 6900~6999,서울특별시,중구,,100669,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 7000~7099,서울특별시,중구,,100670,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 7100~7199,서울특별시,중구,,100671,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 7200~7299,서울특별시,중구,,100672,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 7300~7399,서울특별시,중구,,100673,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 7400~7499,서울특별시,중구,,100674,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 7500~7599,서울특별시,중구,,100675,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 7600~7699,서울특별시,중구,,100676,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 7700~7799,서울특별시,중구,,100677,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 7800~7899,서울특별시,중구,,100678,126.9976,37.563842
서울특별시 중구 서울중앙우체국사서함 7900~7999,서울특별시,중구,,100679,126.9976,37.563842
