title,release_date,week1_sales,week1_seen,nation,production,distributor,rating,genre,total_seen,total_sales
본 레거시,2012-09-06,5512519500,754761,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,액션/어드벤쳐,1015832,7412838000
익스펜더블 2,2012-09-06,2554389228,353507,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,액션/어드벤쳐,444434,3208867228
"광해, 왕이 된 남자",2012-09-13,13480586000,1854694,한국,"리얼라이즈픽쳐스(주),씨제이이앤엠 주식회사",씨제이이앤엠 주식회사,15세이상관람가,기타,12323291,88907726769
늑대아이,2012-09-13,709434761,104852,일본,,(주)미디어데이,전체관람가,애니메이션,337729,2322956761
레지던트 이블 5 : 최후의 심판,2012-09-13,3369377500,383555,미국,,한국소니픽쳐스릴리징브에나비스타영화㈜,청소년관람불가,액션/어드벤쳐,558433,4757460500
간첩,2012-09-20,3764608500,535576,한국,(주)영화사울림,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,드라마,1310895,9316548500
테드: 황금도시 파이티티를 찾아서,2012-09-20,763595000,106838,스페인,,(주)싸이더스에프앤에이치,전체관람가,애니메이션,206320,1453568500
메리다와 마법의 숲,2012-09-27,5783126000,764174,미국,,한국소니픽쳐스릴리징브에나비스타영화㈜,전체관람가,애니메이션,1231024,9024766000
테이큰 2,2012-09-27,13475378553,1762375,프랑스,,이십세기폭스코리아(주),청소년관람불가,액션/어드벤쳐,2308596,17581098553
19곰 테드,2012-09-27,1204664674,157863,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,코미디,266574,2034959293
점쟁이들,2012-10-03,4886005500,680764,한국,"㈜사람엔터테인먼트,(주)다세포클럽",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,코미디,953682,6731202500
루퍼,2012-10-11,2432229000,328593,미국,,(주)에스비에스콘텐츠허브,청소년관람불가,액션/어드벤쳐,571922,4265566000
위험한 관계,2012-10-11,1466890230,204345,중국,,씨제이이앤엠 주식회사,청소년관람불가,멜로/로맨스,298086,2122666230
회사원,2012-10-11,5658098500,753905,한국,"영화사심미안(주),쇼박스㈜미디어플렉스,(주)51k",쇼박스㈜미디어플렉스,청소년관람불가,액션/어드벤쳐,1110523,8321175000
용의자X,2012-10-18,6086727000,842433,한국,"(주)케이앤엔터테인먼트,씨제이이앤엠 주식회사",씨제이이앤엠 주식회사,15세이상관람가,미스터리/범죄,1552055,11241013000
강철대오:구국의 철가방,2012-10-25,1316459656,189710,한국,스페이스엠(주),롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,코미디,233211,1614867156
007 스카이폴,2012-10-26,9169413000,1235323,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),15세이상관람가,액션/어드벤쳐,2376266,17487818000
늑대소년,2012-10-31,11656359500,1636321,한국,(주)영화사비단길,씨제이이앤엠 주식회사,15세이상관람가,멜로/로맨스,6654842,46593140500
아르고,2012-10-31,709541500,98558,미국,,워너브러더스코리아(주),15세이상관람가,스릴러/공포,140736,1001059500
업사이드 다운,2012-11-08,1096202145,155458,캐나다,,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,액션/어드벤쳐,175349,1229283645
내가 살인범이다,2012-11-08,7790289500,1043970,한국,"(주)다세포클럽,쇼박스㈜미디어플렉스",쇼박스㈜미디어플렉스,청소년관람불가,액션/어드벤쳐,2729830,20392542000
브레이킹 던 part2,2012-11-15,9939459500,1395256,미국,,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,드라마,2654817,18909583065
자칼이 온다,2012-11-15,1200241000,176382,한국,(주)노마드필름,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,코미디,210278,1430079500
남영동1985,2012-11-22,1896951601,267756,한국,(주)아우라픽처스,"씨너스엔터테인먼트(주),(주)엣나인필름",15세이상관람가,드라마,332619,2358629601
돈 크라이 마미,2012-11-22,4956355000,711856,한국,(주)씨네마골뱅이,(주)에스비에스콘텐츠허브,15세이상관람가,스릴러/공포,975462,6808882099
음치 클리닉,2012-11-29,1690963000,252832,한국,㈜전망좋은 영화사,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,멜로/로맨스,338168,2248238000
가디언즈,2012-11-29,3390822500,406173,미국,드림웍스 애니메이션,씨제이이앤엠 주식회사,전체관람가,애니메이션,1075848,8213608000
26년,2012-11-29,8008612000,1108678,한국,영화사청어람(주),"(주)인벤트스톤,영화사청어람(주)",15세이상관람가,액션/어드벤쳐,2963652,21242367145
나의 PS 파트너,2012-12-06,6004773116,801013,한국,나의PS파트너 문화산업전문회사,씨제이이앤엠 주식회사,청소년관람불가,멜로/로맨스,1831737,13896958616
늑대소년-확장판,2012-12-06,1767799500,252641,한국,(주)영화사비단길,씨제이이앤엠 주식회사,15세이상관람가,멜로/로맨스,414285,2869918500
원 데이,2012-12-13,1029967000,142537,미국,,(주)팝파트너스,15세이상관람가,드라마,203332,1496053000
극장판 파워레인저: 캡틴포스 VS 미라클포스 199 히어로 대결전,2012-12-13,533498000,78018,일본,,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,애니메이션,110771,759092000
호빗: 뜻밖의 여정,2012-12-13,12767937566,1529027,미국,,워너브러더스코리아(주),12세이상관람가,액션/어드벤쳐,2818993,23436820716
레미제라블,2012-12-19,14118415000,1929159,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,드라마,5916675,43057935500
