title,release_date,week1_sales,week1_seen,nation,production,distributor,rating,genre,total_seen,total_sales
몬스터 대학교,2013-09-12,1932575500,287481,미국,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),전체관람가,애니메이션,861874,5820294000
슈퍼배드 2,2013-09-12,2665329000,393661,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,애니메이션,942991,6470490000
섀도우 헌터스: 뼈의 도시,2013-09-12,2177658000,311736,미국,,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,기타,571071,4034149500
퍼시 잭슨과 괴물의 바다,2013-09-12,1815088609,251414,미국,,이십세기폭스코리아(주),12세이상관람가,기타,519561,3791190609
컨저링,2013-09-17,6474425500,897221,미국,,워너브러더스코리아(주),15세이상관람가,스릴러/공포,2248932,16252078177
블루 재스민,2013-09-25,509264500,71657,미국,,(주)인벤트스톤,15세이상관람가,드라마,115848,845679700
히든 카드,2013-09-26,1038708596,145959,미국,,이십세기폭스코리아(주),청소년관람불가,미스터리/범죄,151479,1080451651
깡철이,2013-10-02,6367395715,888267,한국,"(주)시네마서비스,㈜더드림앤드픽쳐스,㈜팝콘필름",씨제이이앤엠 주식회사,15세이상관람가,드라마,1178527,8368181462
소원,2013-10-02,6952371000,1000407,한국,(주)필름모멘텀,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,드라마,1962622,13505738000
프리즈너스,2013-10-02,1224764500,167381,미국,,"(주)넥스트엔터테인먼트월드(NEW),판씨네마㈜",청소년관람불가,미스터리/범죄,187486,1369998000
러시 : 더 라이벌,2013-10-09,755843500,103175,미국,,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,액션/어드벤쳐,113848,830302000
화이: 괴물을 삼킨 아이,2013-10-09,10417053500,1400176,한국,"나우필름(주),파인하우스필름㈜,쇼박스㈜미디어플렉스",쇼박스㈜미디어플렉스,청소년관람불가,액션/어드벤쳐,1553300,11473459000
