custid	gender	age	marriage	residence	job
18926	여	31	미혼	Gangnam-gu	제조업
18988	남	31	미혼	Dongjak-gu	그룹사
19066	여	31	미혼	Songpa-gu	그룹사
19133	여	31	미혼	Gangnam-gu	개인사업
19202	여	31	기혼	Gwangjin-gu	금융기관
19277	여	32	미혼	Dongjak-gu	개인사업
19342	남	32	기혼	Seocho-gu	제조업
19410	여	32	미혼	Gangdong-gu	개인사업
19486	여	32	기혼	Seodaemun-gu	개인사업
19553	여	32	미혼	Yongsan-gu	개인사업
19615	여	32	기혼	Gwangjin-gu	도소매업
19686	여	32	기혼	Yongsan-gu	개인사업
19752	남	32	미혼	Seongdong-gu	전문직
19822	여	32	기혼	Songpa-gu	교육기관
19885	남	32	기혼	Gangnam-gu	제조업
19948	여	32	기혼	Gangnam-gu	개인사업
20025	남	32	미혼	Seodaemun-gu	그룹사
20097	여	32	기혼	Seongdong-gu	제조업
20161	여	32	기혼	Seongdong-gu	제조업
20243	여	32	기혼	Seodaemun-gu	개인사업
20315	여	32	미혼	Gangnam-gu	교육기관
20389	여	32	미혼	Seodaemun-gu	교육기관
20448	여	32	기혼	Gangnam-gu	공공기관
20521	남	32	기혼	Guro-gu	그룹사
20599	여	32	미혼	Dongjak-gu	개인사업
20670	남	32	기혼	Seongdong-gu	전문직
20738	여	32	미혼	Yongsan-gu	언론기관
20798	여	32	미혼	Yongsan-gu	개인사업
20879	여	32	기혼	Mapo-gu	제조업
20958	남	32	미혼	Gangnam-gu	제조업
21022	여	32	미혼	Gangnam-gu	개인사업
21093	남	32	기혼	Gwangjin-gu	개인사업
21161	남	32	미혼	Gangnam-gu	정보서비스
21235	여	32	기혼	Gwangjin-gu	그룹사
21310	남	32	미혼	Mapo-gu	전문직
21376	여	33	기혼	Seocho-gu	개인사업
21455	남	33	기혼	Yongsan-gu	도소매업
21522	여	33	기혼	Seongdong-gu	개인사업
21588	여	33	기혼	Seodaemun-gu	공무원
21664	여	33	기혼	Songpa-gu	개인사업
21739	여	33	기혼	Seocho-gu	개인사업
21802	여	33	미혼	Seocho-gu	제조업
21877	여	33	기혼	Seocho-gu	금융기관
21948	여	33	미혼	Gangnam-gu	개인사업
22029	여	33	미혼	Gangdong-gu	개인사업
22103	여	33	미혼	Dongdaemun-gu	교육기관
22176	남	33	기혼	Seongdong-gu	개인사업
22249	여	33	미혼	Gwangjin-gu	개인사업
22310	여	33	기혼	Gangdong-gu	개인사업
22385	여	33	기혼	Gangbuk-gu	정보서비스
22457	여	33	미혼	Jongno-gu	제조업
22528	여	33	기혼	Eunpyeong-gu	정보서비스
22592	여	34	기혼	Mapo-gu	개인사업
22664	여	33	미혼	Yongsan-gu	개인사업
22735	남	33	기혼	Gwangjin-gu	개인사업
22798	남	33	미혼	Seongdong-gu	도소매업
22864	여	34	기혼	Jungnang-gu	개인사업
22927	여	33	기혼	Gangnam-gu	공무원
22994	남	33	미혼	Gangnam-gu	의료기관
23066	남	34	기혼	Mapo-gu	제조업
23142	남	34	기혼	Jung-gu	개인사업
23223	여	34	기혼	Seodaemun-gu	의료기관
23291	여	34	기혼	Eunpyeong-gu	예술
23352	여	34	미혼	Seocho-gu	개인사업
23430	여	34	미혼	Gangnam-gu	연구기관
23495	남	34	미혼	Mapo-gu	운송서비스
23553	여	34	기혼	Seodaemun-gu	언론기관
23612	여	34	기혼	Mapo-gu	개인사업
23674	남	34	기혼	Songpa-gu	제조업
23743	여	34	미혼	Dobong-gu	도소매업
23824	남	34	기혼	Yongsan-gu	개인사업
23904	여	34	기혼	Gangdong-gu	운송서비스
23975	여	34	기혼	Songpa-gu	공무원
24044	여	34	기혼	Seocho-gu	개인사업
24115	남	34	기혼	Gangnam-gu	그룹사
24183	여	34	기혼	Eunpyeong-gu	건설업
24247	남	34	기혼	Gwangjin-gu	그룹사
24324	여	35	기혼	Seodaemun-gu	개인사업
24407	남	34	미혼	Seocho-gu	그룹사
24480	남	34	기혼	Seongdong-gu	도소매업
24548	남	34	기혼	Songpa-gu	제조업
24621	남	35	미혼	Songpa-gu	그룹사
24694	여	35	미혼	Gangdong-gu	개인사업
24767	여	35	기혼	Mapo-gu	전문직
24849	여	35	기혼	Gangdong-gu	개인사업
24918	남	36	기혼	Gangdong-gu	그룹사
24986	남	35	기혼	Seocho-gu	그룹사
25056	여	35	기혼	Seongbuk-gu	개인사업
25124	남	35	기혼	Gangnam-gu	제조업
25202	남	35	미혼	Seocho-gu	제조업
25269	여	35	기혼	Gangdong-gu	개인사업
25339	여	35	기혼	Seocho-gu	금융기관
25412	여	35	기혼	Jung-gu	교육기관
25484	남	35	미혼	Yeongdeungpo-gu	제조업
25566	여	35	기혼	Seongdong-gu	개인사업
25637	여	35	기혼	Mapo-gu	공공기관
25723	남	36	기혼	Mapo-gu	공공기관
25803	여	36	기혼	Mapo-gu	개인사업
25876	남	37	기혼	Seodaemun-gu	제조업
25937	여	36	미혼	Gangdong-gu	개인사업
26014	남	36	기혼	Gangdong-gu	개인사업
