category,date,href,number,president,sub_category,title
국정전반,,?spMode=view&catid=c_pa02062&artid=1330665,29,이명박,라디오연설,제100차 라디오·인터넷 연설 - 제100차 특집 '희망국민과의 대화'
외교/통상,,?spMode=view&catid=c_pa02062&artid=1330626,28,이명박,치사,제49차 아시아·태평양방송연맹 서울총회 축사
외교/통상,,?spMode=view&catid=c_pa02062&artid=1330627,27,이명박,만찬사,한·아프리카 협력주간 초청 만찬사
국정전반,,?spMode=view&catid=c_pa02062&artid=1330628,26,이명박,기념사,제67주년 경찰의 날 축사
외교/통상,,?spMode=view&catid=c_pa02062&artid=1330629,25,이명박,치사,글로벌녹색성장기구(GGGI) 창립총회 축사
국정전반,,?spMode=view&catid=c_pa02062&artid=1330630,24,이명박,기념사,제67회 교정의 날 축하 메시지
외교/통상,,?spMode=view&catid=c_pa02062&artid=1330666,23,이명박,라디오연설,제101차 라디오·인터넷 연설 - 녹색기후기금 유치로 대한민국이 글로벌 녹...
문화/체육/관광,,?spMode=view&catid=c_pa02062&artid=1330631,22,이명박,치사,경산 장응철 원불교 제14대 종법사 추대식 축하 메시지
문화/체육/관광,,?spMode=view&catid=c_pa02062&artid=1330632,21,이명박,치사,사천왕사 왔소 2012' 축제 축하 메시지
외교/통상,,?spMode=view&catid=c_pa02062&artid=1330633,20,이명박,기타(연설),[인도네시아 방문] 제5차 발리 민주주의포럼 기조연설
