"","Accur","Param","Sub","Cnt"
"52",0.702756791914745,"sex ~ pr_pref + sea_pref + API + amt12 + instMonth + avg_disc + ","FALSE, TRUE, TRUE",20
"53",0.702756791914745,"    fav_part_index + fav_time + nop6 + fav_good_index + buy_brd + ","FALSE, TRUE, TRUE",20
"54",0.702756791914745,"    main_store","FALSE, TRUE, TRUE",20
"55",0.705208385450543,"sex ~ pr_pref + sea_pref + API + amt12 + instMonth + avg_disc + ","FALSE, TRUE, TRUE",30
"56",0.705208385450543,"    fav_part_index + fav_time + nop6 + fav_good_index + buy_brd + ","FALSE, TRUE, TRUE",30
"57",0.705208385450543,"    main_store","FALSE, TRUE, TRUE",30
"58",0.698053734927703,"sex ~ pr_pref + sea_pref + API + amt12 + instMonth + avg_disc + ","FALSE, TRUE, TRUE",40
"59",0.698053734927703,"    fav_part_index + fav_time + nop6 + fav_good_index + buy_brd + ","FALSE, TRUE, TRUE",40
"60",0.698053734927703,"    main_store","FALSE, TRUE, TRUE",40
"61",0.700505328463501,"sex ~ pr_pref + sea_pref + API + amt12 + instMonth + avg_disc + ","TRUE, FALSE, FALSE",0
"62",0.700505328463501,"    fav_part_index + fav_time + nop6 + fav_good_index + buy_brd + ","TRUE, FALSE, FALSE",0
"63",0.700505328463501,"    main_store","TRUE, FALSE, FALSE",0
"64",0.705808775704208,"sex ~ pr_pref + sea_pref + API + amt12 + instMonth + avg_disc + ","TRUE, FALSE, FALSE",10
"65",0.705808775704208,"    fav_part_index + fav_time + nop6 + fav_good_index + buy_brd + ","TRUE, FALSE, FALSE",10
"66",0.705808775704208,"    main_store","TRUE, FALSE, FALSE",10
"67",0.708010206634312,"sex ~ pr_pref + sea_pref + API + amt12 + instMonth + avg_disc + ","TRUE, FALSE, FALSE",20
"68",0.708010206634312,"    fav_part_index + fav_time + nop6 + fav_good_index + buy_brd + ","TRUE, FALSE, FALSE",20
"69",0.708010206634312,"    main_store","TRUE, FALSE, FALSE",20
"70",0.703107019562716,"sex ~ pr_pref + sea_pref + API + amt12 + instMonth + avg_disc + ","TRUE, FALSE, FALSE",30
"71",0.703107019562716,"    fav_part_index + fav_time + nop6 + fav_good_index + buy_brd + ","TRUE, FALSE, FALSE",30
"72",0.703107019562716,"    main_store","TRUE, FALSE, FALSE",30
"73",0.703107019562716,"sex ~ pr_pref + sea_pref + API + amt12 + instMonth + avg_disc + ","TRUE, FALSE, FALSE",40
"74",0.703107019562716,"    fav_part_index + fav_time + nop6 + fav_good_index + buy_brd + ","TRUE, FALSE, FALSE",40
"75",0.703107019562716,"    main_store","TRUE, FALSE, FALSE",40
"76",0.707960174113174,"sex ~ pr_pref + sea_pref + API + amt12 + instMonth + avg_disc + ","TRUE, FALSE, TRUE",0
