"","x"
"suppose",-0.0177485153381446
"label",-0.0146946815653358
"responses",-0.0137919324102854
"cannibalize",-0.0130532220853678
"court",-0.00963523028614069
"disgusted",-0.00888579188388524
"oversize",-0.00442532420598702
"screenwhy",-0.000785546385894296
"tube",-0.000524783087607004
"symbian",-0.000477368593085055
"partyi",-0.000428624940541966
"dating",-0.00000000000000374908708971746
