기간	자치구	동	계	1인가구	2인가구	3인가구	4인가구	5인가구	6인가구	7인이상 가구
2015	송파구	방이1동	5,440 	1,065 	1,233 	1,320 	1,386 	324 	92 	20 
2015	송파구	방이2동	10,811 	4,047 	2,701 	2,107 	1,521 	345 	68 	22 
2015	송파구	오륜동	5,539 	288 	1,094 	1,672 	1,969 	410 	75 	31 
2015	송파구	오금동	12,233 	2,220 	3,021 	3,126 	3,014 	676 	139 	37 
2015	송파구	송파1동	10,717 	3,697 	2,669 	2,167 	1,678 	401 	79 	26 
2015	송파구	송파2동	6,802 	859 	1,530 	1,933 	1,889 	476 	83 	32 
2015	송파구	석촌동	14,241 	5,077 	3,644 	2,666 	2,209 	506 	103 	36 
2015	송파구	삼전동	13,888 	4,861 	3,601 	2,703 	2,107 	500 	95 	21 
2015	송파구	가락본동	10,227 	2,603 	2,467 	2,405 	2,138 	491 	97 	26 
2015	송파구	가락1동	215 	20 	48 	56 	65 	20 	X 	X 
2015	송파구	가락2동	11,199 	1,805 	2,389 	2,914 	3,231 	688 	131 	41 
2015	송파구	문정1동	7,457 	1,535 	1,800 	1,880 	1,721 	407 	91 	23 
2015	송파구	문정2동	6,760 	2,129 	1,557 	1,418 	1,277 	273 	87 	19 
2015	송파구	장지동	12,145 	2,257 	3,040 	3,065 	2,870 	727 	157 	29 
2015	송파구	위례동	3,493 	426 	763 	809 	1,039 	361 	79 	16 
2015	송파구	잠실본동	12,782 	5,036 	3,147 	2,316 	1,774 	400 	87 	22 
2015	송파구	잠실4동	9,545 	1,064 	2,229 	2,912 	2,670 	544 	93 	33 
2015	송파구	잠실6동	5,409 	546 	1,367 	1,629 	1,439 	334 	74 	20 
2015	송파구	잠실7동	3,172 	291 	866 	914 	889 	162 	40 	10 
2015	송파구	잠실2동	10,995 	1,136 	2,016 	3,157 	3,911 	644 	106 	25 
2015	송파구	잠실3동	11,167 	1,010 	2,569 	3,365 	3,346 	717 	129 	31 
2015	강동구	소계	164,094 	39,897 	39,877 	38,478 	35,173 	8,344 	1,867 	458 
2015	강동구	강일동	10,109 	1,048 	2,206 	2,381 	3,110 	1,093 	223 	48 
2015	강동구	상일동	8,280 	1,268 	2,012 	2,286 	2,149 	472 	72 	21 
2015	강동구	명일1동	7,661 	1,322 	1,662 	2,037 	2,061 	449 	110 	20 
2015	강동구	명일2동	5,482 	550 	1,098 	1,471 	1,856 	409 	79 	19 
2015	강동구	고덕1동	5,209 	878 	1,061 	1,346 	1,450 	372 	87 	15 
2015	강동구	고덕2동	3,677 	1,254 	888 	758 	592 	147 	28 	10 
2015	강동구	암사2동	5,662 	1,254 	1,372 	1,404 	1,317 	244 	60 	11 
2015	강동구	암사3동	5,808 	589 	1,218 	1,696 	1,834 	370 	73 	28 
2015	강동구	천호1동	11,174 	3,213 	2,919 	2,476 	1,961 	463 	118 	24 
2015	강동구	천호3동	10,606 	3,830 	2,840 	2,051 	1,408 	340 	107 	30 
2015	강동구	성내1동	6,686 	1,404 	1,560 	1,760 	1,477 	380 	88 	17 
2015	강동구	성내2동	10,719 	3,945 	2,794 	2,010 	1,492 	351 	98 	29 
2015	강동구	성내3동	9,339 	2,514 	2,371 	2,152 	1,769 	430 	79 	24 
2015	강동구	둔촌1동	5,865 	552 	1,338 	1,830 	1,784 	313 	40 	8 
2015	강동구	둔촌2동	9,839 	1,957 	2,317 	2,510 	2,370 	541 	112 	32 
2015	강동구	암사1동	14,086 	3,966 	3,543 	3,150 	2,619 	614 	158 	36 
2015	강동구	천호2동	14,853 	5,212 	3,940 	2,825 	2,211 	497 	123 	45 
2015	강동구	길동	19,039 	5,141 	4,738 	4,335 	3,713 	859 	212 	41 
