2015년,"아파트,연립다세대",단독주택,노상,상점,"숙박업소,목욕탕",유흥접객업소,사무실,"역,대합실",교통수단,유원지,학교,금융기관,기타
죄종,"5,039","6,408","37,548","4,816","1,638","5,004","2,458",843,"2,173",951,640,"1,322","57,561"
살인,20,39,37,1,3,5,3,0,0,4,1,0,50
강도,20,23,70,34,15,14,8,0,3,1,0,3,85
강간.추행,283,346,924,73,395,342,91,181,812,51,46,1,"1,904"
절도,"1,866","2,498","11,407","3,903",952,"2,204",994,407,"1,026",424,397,"1,273","27,956"
폭력,"2,850","3,502","25,110",805,273,"2,439","1,362",255,332,471,196,45,"27,566"
