"기준일","요일","성별","연령대","시도","시군구","업종","통화건수"
"20160301","화","여","30대","서울특별시","금천구","치킨","77"
"20160301","화","남","50대","서울특별시","금천구","치킨","21"
"20160301","화","여","10대","서울특별시","노원구","치킨","14"
"20160301","화","여","60대이상","서울특별시","노원구","치킨","15"
"20160301","화","여","40대","서울특별시","노원구","치킨","204"
"20160301","화","여","30대","서울특별시","노원구","치킨","139"
"20160301","화","남","10대","서울특별시","노원구","치킨","52"
"20160301","화","남","30대","서울특별시","노원구","치킨","132"
"20160301","화","남","60대이상","서울특별시","노원구","치킨","15"
"20160301","화","남","50대","서울특별시","노원구","치킨","44"
"20160301","화","여","50대","서울특별시","노원구","치킨","50"
"20160301","화","여","20대","서울특별시","노원구","치킨","96"
"20160301","화","남","20대","서울특별시","노원구","치킨","102"
"20160301","화","남","40대","서울특별시","노원구","치킨","100"
"20160301","화","남","20대","서울특별시","도봉구","치킨","65"
"20160301","화","여","20대","서울특별시","도봉구","치킨","76"
"20160301","화","여","40대","서울특별시","도봉구","치킨","72"
"20160301","화","여","30대","서울특별시","도봉구","치킨","52"
"20160301","화","여","50대","서울특별시","도봉구","치킨","50"
"20160301","화","남","30대","서울특별시","도봉구","치킨","57"
"20160301","화","남","50대","서울특별시","도봉구","치킨","14"
"20160301","화","여","10대","서울특별시","도봉구","치킨","142"
"20160301","화","여","60대이상","서울특별시","도봉구","치킨","12"
"20160301","화","남","10대","서울특별시","도봉구","치킨","224"
"20160301","화","남","60대이상","서울특별시","도봉구","치킨","9"
"20160301","화","남","40대","서울특별시","도봉구","치킨","41"
"20160301","화","남","10대","서울특별시","동대문구","치킨","20"
"20160301","화","남","60대이상","서울특별시","동대문구","치킨","11"
"20160301","화","남","50대","서울특별시","동대문구","치킨","16"
"20160301","화","여","20대","서울특별시","동대문구","치킨","71"
"20160301","화","여","10대","서울특별시","동대문구","치킨","21"
"20160301","화","남","20대","서울특별시","동대문구","치킨","85"
"20160301","화","여","60대이상","서울특별시","동대문구","치킨","14"
"20160301","화","여","40대","서울특별시","동대문구","치킨","89"
"20160301","화","남","40대","서울특별시","동대문구","치킨","55"
"20160301","화","여","30대","서울특별시","동대문구","치킨","93"
"20160301","화","남","30대","서울특별시","동대문구","치킨","76"
"20160301","화","여","50대","서울특별시","동대문구","치킨","40"
"20160301","화","여","40대","서울특별시","동작구","치킨","97"
"20160301","화","남","40대","서울특별시","동작구","치킨","65"
"20160301","화","남","20대","서울특별시","동작구","치킨","113"
"20160301","화","여","50대","서울특별시","동작구","치킨","40"
"20160301","화","여","30대","서울특별시","동작구","치킨","89"
"20160301","화","남","50대","서울특별시","동작구","치킨","30"
"20160301","화","남","30대","서울특별시","동작구","치킨","112"
"20160301","화","남","10대","서울특별시","동작구","치킨","15"
"20160301","화","남","60대이상","서울특별시","동작구","치킨","13"
